id,name,short,sector,tier,power
enec,Emirates Nuclear Energy Company (Barakah),ENEC,utilities,1,80
fab,First Abu Dhabi Bank,FAB,finance,1,88
adcb,Abu Dhabi Commercial Bank,ADCB,finance,1,82
adib,Abu Dhabi Islamic Bank,ADIB,finance,2,76
wio,Wio Bank,Wio,finance,2,62
adx,Abu Dhabi Securities Exchange,ADX,finance,2,72
adgm,Abu Dhabi Global Market,ADGM,finance,1,84
g42,G42,G42,tech,1,90
core42,Core42,Core42,tech,2,72
presight,Presight AI,Presight,tech,2,70
space42,Space42,Space42,tech,2,74
khazna,Khazna Data Centers,Khazna,tech,2,70
mbzuai,Mohamed bin Zayed University of AI,MBZUAI,education,2,72
e_and,e& (Etisalat Group),e&,comm,1,84
tii,Technology Innovation Institute,TII,tech,2,66
edge_grp,EDGE Group,EDGE,industry,1,84
calidus,Calidus Holding,Calidus,industry,2,60
purehealth,PureHealth,PureHealth,health,1,80
seha,SEHA (AD Health Services),SEHA,health,2,66
daman,Daman (National Health Insurance),Daman,health,2,62
m42,M42,M42,health,2,74
ccad,Cleveland Clinic Abu Dhabi,CCAD,health,2,64
burjeel,Burjeel Holdings,Burjeel,health,2,68
aldar,Aldar Properties,Aldar,realestate,1,82
modon,Modon Holding,Modon,realestate,2,74
adnh,Abu Dhabi National Hotels,ADNH,realestate,2,60
adports,AD Ports Group,AD Ports,industry,1,82
etihad,Etihad Airways,Etihad,industry,1,80
adairports,Abu Dhabi Airports,AD Airports,industry,2,72
etihadrail,Etihad Rail,Etihad Rail,industry,2,74
itc,Integrated Transport Centre,ITC,gov,2,62
ega,Emirates Global Aluminium,EGA,materials,1,78
emsteel,EMSTEEL (Emirates Steel Arkan),EMSTEEL,materials,2,70
strata,Strata Manufacturing,Strata,industry,2,62
nmdc,NMDC Group,NMDC,industry,2,68
agthia,Agthia Group,Agthia,consumer_stap,2,66
silal,Silal,Silal,consumer_stap,2,60
aldahra,Al Dahra Holding,Al Dahra,consumer_stap,2,62
lulu,LuLu Group International,LuLu,consumer_stap,2,72
miral,Miral (Yas Island / destinations),Miral,consumer_disc,2,76
adnec,ADNEC Group,ADNEC,consumer_disc,2,70
louvre,Louvre Abu Dhabi,Louvre AD,consumer_disc,2,62
flash,Flash Entertainment,Flash,comm,2,58
cfg,City Football Group / Manchester City,CFG,comm,2,72
imi,International Media Investments,IMI,comm,2,72
skynewsarabia,Sky News Arabia,Sky News Arabia,comm,2,60
thenational,The National,The National,comm,2,58
khalifa_u,Khalifa University,Khalifa Uni,education,2,68
nyuad,NYU Abu Dhabi,NYUAD,education,2,66
sorbonne,Sorbonne University Abu Dhabi,Sorbonne AD,education,2,58
zayed_u,Zayed University,Zayed Uni,education,2,60
uaeu,United Arab Emirates University,UAEU,education,2,64
tadweer,Tadweer Group,Tadweer,industry,2,64
alnowais,Al Nowais Investments,Al Nowais Inv.,conglomerate,2,62
almasaood,Al Masaood Group,Al Masaood,conglomerate,2,62
alfahim,Al Fahim Group,Al Fahim,conglomerate,2,60
binhamoodah,Bin Hamoodah Group,Bin Hamoodah,conglomerate,2,56
dasholding,Das Holding,Das Holding,conglomerate,2,58
aljaber,Al Jaber Group,Al Jaber,conglomerate,2,60
nationalholding,National Holding,National Holding,conglomerate,2,62
microsoft,Microsoft,Microsoft,tech,3,80
openai,OpenAI,OpenAI,tech,3,74
nvidia,NVIDIA,NVIDIA,tech,3,74
cerebras,Cerebras Systems,Cerebras,tech,3,60
huawei,Huawei UAE,Huawei,tech,3,56
totalenergies,TotalEnergies,TotalEnergies,energy,3,72
bp,bp,bp,energy,3,70
shell,Shell,Shell,energy,3,70
exxonmobil,ExxonMobil,ExxonMobil,energy,3,70
eni,Eni,Eni,energy,3,64
omv,OMV,OMV,energy,3,62
oxy,Occidental Petroleum,Occidental,energy,3,60
inpex,INPEX (JODCO),INPEX,energy,3,56
cnpc,CNPC,CNPC,energy,3,58
kepco,KEPCO,KEPCO,utilities,3,58
blackrock,BlackRock,BlackRock,finance,3,76
goldman,Goldman Sachs,Goldman Sachs,finance,3,66
moelis,Moelis & Company,Moelis,finance,3,62
rothschildco,Rothschild & Co,Rothschild & Co,finance,3,60
waha,Waha Capital,Waha Capital,finance,3,62
adnic,Abu Dhabi National Insurance Company,ADNIC,finance,3,54
trojan,Trojan Holding,Trojan,industry,3,60
alisons,Ali & Sons Holding,Ali & Sons,conglomerate,3,58
rotana,Rotana Hotels,Rotana,consumer_disc,3,62
mckinsey,McKinsey & Company,McKinsey,industry,3,64
bcg,Boston Consulting Group,BCG,industry,3,60
pwc,PwC Middle East,PwC,industry,3,58
ey,EY MENA,EY,industry,3,56
kpmg,KPMG Lower Gulf,KPMG,industry,3,54
deloitte,Deloitte Middle East,Deloitte,industry,3,56
accenture,Accenture Middle East,Accenture,industry,3,56
altamimi,Al Tamimi & Company,Al Tamimi,industry,3,58
cliffordchance,Clifford Chance,Clifford Chance,industry,3,52
raytheon_em,Raytheon Emirates,Raytheon Emirates,industry,3,58
lst_eand,Emirates Telecommunications Group Company PJSC,EAND,comm,2,50
lst_ords,Ooredoo Q.P.S.C.,Ooredoo Q.P.S.C.,comm,2,50
lst_adports,Abu Dhabi Ports Company PJSC,ADPORTS,industry,2,50
lst_mbme,MBME Group PJSC,MBME Group PJSC,health,2,50
lst_purehealth,Pure Health Holding PJSC,PUREHEALTH,health,2,50
lst_2pointzero,Two Point Zero Group PJSC,2POINTZERO,tech,2,50
lst_agility,Agility Global PLC,Agility Global PLC,industry,2,50
lst_apex,Apex Investment PSC,Apex Investment PSC,finance,2,50
lst_sib,Sharjah Islamic Bank PJSC,SIB,finance,2,50
lst_inb,Invest Bank P.S.C.,Invest Bank P.S.C.,finance,2,50
lst_alefedt,Alef Education Holding plc,ALEFEDT,consumer_disc,2,50
lst_oras,Orascom Construction PLC,ORAS,industry,2,50
lst_dana,Dana Gas PJSC,Dana Gas PJSC,energy,2,50
lst_adaviation,Abu Dhabi Aviation Company,ADAVIATION,industry,2,50
lst_bos,Bank of Sharjah PJSC,Bank of Sharjah PJSC,finance,2,50
lst_uab,United Arab Bank PJSC,UAB,finance,2,50
lst_emobility,Emirates Mobility Company PJSC,EMOBILITY,industry,2,50
lst_icap,Investcorp Capital plc,ICAP,finance,2,50
lst_phx,Phoenix Group PLC,Phoenix Group PLC,tech,2,50
lst_gih,Gulf Investment House K.P.S.C.,GIH,finance,2,50
lst_rakprop,RAK Properties PJSC,RAK Properties PJSC,realestate,2,50
lst_saga,Sagasse Investment Company Plc,SAGA,finance,2,50
lst_anan,Anan Investment Holding PJSC,ANAN,finance,2,50
lst_esg,ESG Emirates Stallions Group PJSC,ESG,materials,2,50
lst_asm,Al Seer Marine Supplies and Equipment Company PJSC,ASM,industry,2,50
lst_ghitha,Ghitha Holding PJSC,Ghitha Holding PJSC,consumer_stap,2,50
lst_rakcec,RAK Ceramics PJSC,RAK Ceramics PJSC,materials,2,50
lst_mair,MAIR Group PJSC,MAIR Group PJSC,consumer_stap,2,50
lst_invictus,Invictus Investment Company PLC,INVICTUS,finance,2,50
lst_e7,E7 Group PJSC,E7 Group PJSC,industry,2,50
lst_eshraq,Eshraq Investments PJSC,ESHRAQ,realestate,2,50
lst_adsb,Abu Dhabi Ship Building PJSC,ADSB,industry,2,50
lst_gmpc,Gulf Medical Projects Company PJSC,GMPC,health,2,50
lst_alphadata,Alpha Data PJSC,Alpha Data PJSC,tech,2,50
lst_eic,Emirates Insurance Company PJSC,EIC,finance,2,50
lst_palms,Palms Sports PJSC,Palms Sports PJSC,consumer_disc,2,50
lst_julphar,Gulf Pharmaceutical Industries P.S.C.,JULPHAR,health,2,50
lst_dhafra,Al Dhafra Insurance Company P.S.C.,DHAFRA,finance,2,50
lst_scidc,Sharjah Cement and Industrial Development Co. PJSC,SCIDC,materials,2,50
lst_manazel,Manazel PJSC,Manazel PJSC,realestate,2,50
lst_sudatel,Sudatel Telecom Group Limited,SUDATEL,comm,2,50
lst_qic,Umm Al Qaiwain General Investments Company P.S.C.,QIC,finance,2,50
lst_easylease,Easy Lease Motor Cycle Rental P.S.C.,EASYLEASE,industry,2,50
lst_fh,Finance House PJSC,Finance House PJSC,finance,2,50
lst_rakwct,Ras Al Khaimah Co. for White Cement & Construction Materials P.S.C.,RAKWCT,materials,2,50
lst_kico,Al Khaleej Investment PJSC,KICO,finance,2,50
lst_alain,Al Ain Ahlia Insurance Company P.S.C.,ALAIN,finance,2,50
lst_gcem,Gulf Cement Company P.S.C.,GCEM,materials,2,50
lst_fbi,Fujairah Building Industries PJSC,FBI,materials,2,50
lst_rpm,Response Plus Holding PJSC,RPM,health,2,50
lst_sawaeed,Sawaeed Holding PJSC,Sawaeed Holding PJSC,industry,2,50
lst_union,Union Insurance Company PJSC,UNION,finance,2,50
lst_hh,Hily Holding PJSC,Hily Holding PJSC,conglomerate,2,50
lst_fidelityunited,United Fidelity Insurance Company P.S.C.,FIDELITYUNITED,finance,2,50
lst_hayah,Hayah Insurance Company PJSC,HAYAH,finance,2,50
lst_sico,Sharjah Insurance Company P.S.C.,SICO,finance,2,50
lst_rapco,RAPCO Investment PJSC,RAPCO,consumer_stap,2,50
lst_aram,ARAM Group Company PJSC,ARAM,realestate,2,50
lst_fci,Fujairah Cement Industries PJSC,FCI,materials,2,50
lst_oeihc,Oman & Emirates Investment Holding Company SAOG,OEIHC,finance,2,50
lst_ih,Insurance House PJSC,Insurance House PJSC,finance,2,50
lst_methaq,Methaq Takaful Insurance P.S.C.,METHAQ,finance,2,50
